,wind_speed_10m,wind_speed_100m,wind_direction_100m,wind_mw,hour,month,dayofweek,quarter,hour_sin,hour_cos,month_sin,month_cos,wind_dir_sin,wind_dir_cos,wind_mw_lag1,wind_mw_lag24,wind_mw_lag48,wind_mw_lag168,wspeed_lag1,wspeed_lag24,wind_mw_roll6,wind_mw_roll24,wspeed_roll6,wspeed_roll24,wind_mw_normalized
2019-04-28 12:00:00,19.296133,25.509243,278.9305,2614.0,12,4,6,2,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.9878773695223605,0.1552362805067864,2975.0,10376.0,10554.0,1606.0,24.162945,18.331741,3413.8333333333335,7225.791666666667,22.33608033333333,19.229653583333334,0.0649844623990056
2019-04-28 13:00:00,19.05281,24.86868,292.1095,2369.0,13,4,6,2,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.9264662377910715,0.37637788223175095,2614.0,10423.0,11250.0,1577.0,25.509243,15.281989,3115.5,6902.375,22.769244166666667,19.528716166666666,0.05889372280919826
2019-04-28 14:00:00,16.055353,21.194187,290.89783,2398.0,14,4,6,2,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,-0.9342179846192705,0.35670261733537717,2369.0,10095.0,11907.0,1698.0,24.86868,10.966713,2868.3333333333335,6566.791666666667,23.549206166666664,19.928161625,0.05961466749533872
2019-04-28 15:00:00,14.84318,19.523155,292.78244,2341.0,15,4,6,2,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,-0.9219818739972797,0.38723303580720525,2398.0,9331.0,11871.0,2182.0,21.194187,10.383987,2732.1666666666665,6246.083333333333,23.582999666666666,20.354306375,0.05819763828464885
2019-04-28 16:00:00,15.7908325,21.142147,312.92996,2270.0,16,4,6,2,-0.8660254037844384,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,-0.7321868492751071,0.6811038230318426,2341.0,7799.0,11364.0,2979.0,19.523155,11.726277,2636.6666666666665,5954.833333333333,23.236859166666665,20.735105041666667,0.05643256681168428
2019-04-28 17:00:00,17.610588,23.233252,310.6012,2154.0,17,4,6,2,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,-0.7592576773850207,0.650790119264194,2270.0,7732.0,12061.0,4105.0,21.142147,16.267857,2494.5,5724.458333333333,22.733392833333337,21.127432958333333,0.05354878806712244
2019-04-28 18:00:00,14.565548,19.681828,309.8055,2214.0,18,4,6,2,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,-0.768222073933811,0.6401834464595553,2154.0,7482.0,11696.0,6800.0,23.233252,18.847641,2357.6666666666665,5492.041666666667,22.578444,21.41765775,0.05504039776258546
2019-04-28 19:00:00,15.408671,21.599998,323.13004,2566.0,19,4,6,2,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,-0.6000008706279041,0.7999993470283318,2214.0,7481.0,11763.0,10622.0,19.681828,11.090103,2291.0,5272.541666666667,21.607208166666666,21.452415541666667,0.06379117464263517
2019-04-28 20:00:00,11.480557,20.018072,322.3057,2862.0,20,4,6,2,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,-0.6114483232619271,0.7912843660658144,2566.0,7861.0,11617.0,12917.0,21.599998,16.65754,2323.8333333333335,5067.75,21.062427833333334,21.890327833333334,0.07114978247358608
2019-04-28 21:00:00,10.97262,21.096123,323.32556,3339.0,21,4,6,2,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,-0.5972674104692084,0.802042168711475,2862.0,8463.0,11078.0,14582.0,20.018072,20.523157,2401.1666666666665,4859.458333333333,20.86640866666667,22.03035,0.08300807955251709
2019-04-28 22:00:00,11.019764,21.767351,325.78424,3783.0,22,4,6,2,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,-0.5623108565858054,0.8269259341475135,3339.0,8734.0,11226.0,15172.0,21.096123,20.192118,2567.5,4645.958333333333,21.12857,22.054223583333336,0.09404599129894345
2019-04-28 23:00:00,12.10157,22.218153,333.01984,4222.0,23,4,6,2,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,-0.4536819407373231,0.891163675566288,3783.0,9091.0,12158.0,15044.0,21.767351,21.461555,2819.6666666666665,4439.666666666667,21.232770666666667,22.11985829166667,0.10495960223741455
2019-04-29 00:00:00,13.684735,23.893261,329.18436,4938.0,0,4,0,2,0.0,1.0,0.8660254037844387,-0.4999999999999998,-0.512277315640203,0.8588200928485942,4222.0,9332.0,12284.0,14572.0,22.218153,22.881956,3164.3333333333335,4236.791666666667,21.0635875,22.151383208333332,0.12275947793660659
2019-04-29 01:00:00,13.104198,22.366402,326.82147,5544.0,1,4,0,2,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.5472496308999826,0.8369694387968014,4938.0,9512.0,12275.0,15074.0,23.893261,22.66857,3618.3333333333335,4053.7083333333335,21.765493000000003,22.193520916666667,0.1378247358607831
2019-04-29 02:00:00,13.608762,22.406927,313.69812,5863.0,2,4,0,2,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.7229898148852731,0.690858688569637,5544.0,8697.0,11780.0,15506.0,22.366402,20.172853,4114.666666666667,3888.375,21.893227,22.180930583333335,0.14575512740832816
