,wind_speed_10m,wind_speed_100m,wind_direction_100m,wind_mw
2019-01-10 19:00:00,6.297428,11.923557,331.11353,3585.0
2019-01-10 20:00:00,4.510787,10.009036,307.6943,3961.0
2019-01-10 21:00:00,7.42159,14.512064,293.38525,4616.0
2019-01-10 22:00:00,9.449572,17.068707,297.64587,5344.0
2019-01-10 23:00:00,7.2805495,15.256526,289.29013,6065.0
2019-01-11 00:00:00,7.10031,14.05845,256.67545,6449.0
2019-01-11 01:00:00,11.165805,19.914217,257.4712,6869.0
2019-01-11 02:00:00,11.792404,19.881649,264.80566,8178.0
2019-01-11 03:00:00,11.874544,19.296133,261.41647,9377.0
2019-01-11 04:00:00,12.879752,21.53089,249.44386,10621.0
2019-01-11 05:00:00,14.081477,23.023117,243.03436,11855.0
2019-01-11 06:00:00,15.03835,24.696102,233.29706,13070.0
2019-01-11 07:00:00,17.31746,28.312117,228.60857,13673.0
2019-01-11 08:00:00,19.134262,31.828968,226.37476,14160.0
2019-01-11 09:00:00,18.844202,34.75445,230.04251,15265.0
2019-01-11 10:00:00,18.864824,34.653625,235.15419,16467.0
2019-01-11 11:00:00,18.671474,34.614334,243.43501,18388.0
2019-01-11 12:00:00,20.140705,34.09373,248.31087,20095.0
2019-01-11 13:00:00,17.10284,28.694056,246.32945,21319.0
2019-01-11 14:00:00,19.353138,31.52005,256.12244,22364.0
2019-01-11 15:00:00,19.914217,32.32992,262.32114,23123.0
2019-01-11 16:00:00,19.959719,32.791634,267.4832,23759.0
2019-01-11 17:00:00,20.523155,33.636406,275.52744,23799.0
2019-01-11 18:00:00,19.296133,31.869658,283.72232,22518.0
2019-01-11 19:00:00,21.398056,34.275703,287.1028,21970.0
2019-01-11 20:00:00,20.724247,33.497414,290.77234,21540.0
2019-01-11 21:00:00,20.393293,32.862694,294.59976,20927.0
2019-01-11 22:00:00,21.659916,34.94968,294.9812,20666.0
2019-01-11 23:00:00,21.461555,34.298386,295.48914,20012.0
2019-01-12 00:00:00,19.523155,32.84494,296.0033,19294.0
2019-01-12 01:00:00,19.523155,31.883888,295.40768,18618.0
2019-01-12 02:00:00,18.11841,31.106167,293.89517,17999.0
2019-01-12 03:00:00,17.193533,30.302078,293.82425,17719.0
2019-01-12 04:00:00,17.418196,29.882166,291.92963,18484.0
2019-01-12 05:00:00,16.854767,28.03612,294.2613,19703.0
2019-01-12 06:00:00,14.587776,24.703976,288.69907,20771.0
2019-01-12 07:00:00,17.462784,28.467329,283.15753,21584.0
2019-01-12 08:00:00,16.62249,27.276978,292.50357,22567.0
2019-01-12 09:00:00,13.722565,23.319553,278.88058,24433.0
2019-01-12 10:00:00,13.708391,22.608458,260.83774,27210.0
2019-01-12 11:00:00,16.516901,27.402597,260.1665,29198.0
2019-01-12 12:00:00,23.828083,37.095722,268.3317,30224.0
2019-01-12 13:00:00,21.349546,33.190357,266.26868,30959.0
2019-01-12 14:00:00,22.862125,35.50155,263.59573,31270.0
2019-01-12 15:00:00,21.99538,35.406506,251.01228,31638.0
2019-01-12 16:00:00,23.03156,36.969738,247.68051,31668.0
2019-01-12 17:00:00,24.472057,39.18712,246.73227,31847.0
2019-01-12 18:00:00,25.537172,40.98312,251.56496,31519.0
2019-01-12 19:00:00,24.975283,40.17993,257.58255,31099.0
2019-01-12 20:00:00,24.693481,39.345543,265.8024,29806.0
2019-01-12 21:00:00,23.14103,37.10795,267.7761,28720.0
2019-01-12 22:00:00,23.499481,37.45557,268.34772,28652.0
2019-01-12 23:00:00,24.933735,39.254856,268.4235,28731.0
2019-01-13 00:00:00,24.251284,38.96158,266.29166,27704.0
2019-01-13 01:00:00,22.101183,35.690872,261.29785,26499.0
2019-01-13 02:00:00,24.842607,39.6801,273.6411,25869.0
2019-01-13 03:00:00,25.264202,39.518097,276.8012,25595.0
2019-01-13 04:00:00,23.177402,36.932915,280.10498,25066.0
2019-01-13 05:00:00,21.288757,34.114628,277.2749,25618.0
2019-01-13 06:00:00,21.9718,35.656357,271.73566,26720.0
2019-01-13 07:00:00,24.122683,38.18716,272.16104,28338.0
2019-01-13 08:00:00,24.251284,38.221085,266.76038,30227.0
2019-01-13 09:00:00,23.023119,36.93291,263.84494,32137.0
2019-01-13 10:00:00,25.171696,39.029713,255.5792,33912.0
2019-01-13 11:00:00,26.944744,42.136917,250.0168,35243.0
2019-01-13 12:00:00,26.61323,41.251034,249.03421,36060.0
2019-01-13 13:00:00,26.064596,41.437546,240.31694,36531.0
2019-01-13 14:00:00,26.121714,41.859188,243.43501,37302.0
2019-01-13 15:00:00,26.476522,42.56229,261.7329,37659.0
2019-01-13 16:00:00,27.869207,44.014324,266.24835,38582.0
2019-01-13 17:00:00,26.525429,41.8855,265.5636,39666.0
2019-01-13 18:00:00,26.903828,42.793083,259.82455,40225.0
2019-01-13 19:00:00,30.317043,48.252083,268.7175,40180.0
2019-01-13 20:00:00,33.672993,52.33761,277.90707,39872.0
2019-01-13 21:00:00,34.94968,53.85701,289.5251,38130.0
2019-01-13 22:00:00,31.353088,49.1634,293.7495,36407.0
2019-01-13 23:00:00,31.99142,50.35112,290.50818,36292.0
2019-01-14 00:00:00,31.550869,49.864876,288.95828,35629.0
2019-01-14 01:00:00,31.581665,50.396145,295.83282,34769.0
2019-01-14 02:00:00,32.2396,50.396145,295.83282,33633.0
2019-01-14 03:00:00,33.667217,52.32399,296.56497,32549.0
2019-01-14 04:00:00,33.672993,51.80123,300.48566,31916.0
2019-01-14 05:00:00,32.28981,50.528404,302.78427,32252.0
2019-01-14 06:00:00,33.05145,51.936157,305.12225,31791.0
2019-01-14 07:00:00,29.337238,46.675217,301.11526,30878.0
2019-01-14 08:00:00,31.575506,49.39221,300.6772,29896.0
2019-01-14 09:00:00,32.2396,49.45645,301.60745,29588.0
2019-01-14 10:00:00,31.722925,48.3594,299.42737,31123.0
2019-01-14 11:00:00,31.311722,46.060303,291.552,31863.0
2019-01-14 12:00:00,36.2243,52.815815,297.6129,32569.0
2019-01-14 13:00:00,35.747112,52.526703,304.67038,32012.0
2019-01-14 14:00:00,33.353954,49.43024,304.61606,30933.0
2019-01-14 15:00:00,26.980793,42.334835,303.55496,30100.0
2019-01-14 16:00:00,26.282465,42.056873,308.0471,28665.0
2019-01-14 17:00:00,24.651457,40.872288,301.30988,27899.0
2019-01-14 18:00:00,25.12016,41.548428,297.8972,27313.0
2019-01-14 19:00:00,24.606731,40.794525,293.39777,27063.0
2019-01-14 20:00:00,24.627787,40.52839,288.11316,26894.0
2019-01-14 21:00:00,25.323128,41.66679,288.12195,26058.0
2019-01-14 22:00:00,26.309572,42.814278,289.6539,25345.0
2019-01-14 23:00:00,27.438046,44.589165,291.80148,24934.0
2019-01-15 00:00:00,26.882141,43.255466,292.50986,25377.0
2019-01-15 01:00:00,26.208395,41.598305,293.45905,26044.0
2019-01-15 02:00:00,27.009598,42.402134,293.51797,27033.0
2019-01-15 03:00:00,26.141552,41.71342,295.01685,27910.0
2019-01-15 04:00:00,25.620771,41.38121,291.43124,28562.0
2019-01-15 05:00:00,27.558228,44.25511,291.97455,29722.0
2019-01-15 06:00:00,27.607563,44.09375,283.6959,30371.0
2019-01-15 07:00:00,28.47643,44.84854,275.52744,30268.0
2019-01-15 08:00:00,29.162226,46.50832,273.10596,30262.0
2019-01-15 09:00:00,29.179993,46.081406,269.5524,30212.0
2019-01-15 10:00:00,29.914679,46.579323,274.4326,30983.0
2019-01-15 11:00:00,29.934166,46.317047,275.79913,31643.0
2019-01-15 12:00:00,28.808998,43.273434,273.3384,31897.0
2019-01-15 13:00:00,25.929996,40.326424,271.023,32318.0
2019-01-15 14:00:00,25.364037,39.32083,266.32556,33907.0
2019-01-15 15:00:00,25.212852,40.5907,263.3793,34741.0
2019-01-15 16:00:00,27.908709,44.784924,265.38943,35104.0
2019-01-15 17:00:00,29.478264,47.033417,264.2895,35096.0
2019-01-15 18:00:00,30.676142,48.273567,267.86313,34795.0
2019-01-15 19:00:00,31.035257,48.981174,268.31534,34198.0
2019-01-15 20:00:00,32.09052,50.045174,269.1757,33275.0
2019-01-15 21:00:00,32.09052,50.40514,269.18155,31644.0
2019-01-15 22:00:00,31.32207,49.700863,271.66025,31129.0
2019-01-15 23:00:00,28.08,44.676273,272.30902,30313.0
2019-01-16 00:00:00,26.368616,42.133842,268.53122,29188.0
2019-01-16 01:00:00,27.153164,43.6551,266.21744,28113.0
2019-01-16 02:00:00,27.059933,43.205997,269.04517,27556.0
2019-01-16 03:00:00,28.082308,44.35165,273.25714,26947.0
2019-01-16 04:00:00,28.082308,44.014324,273.75165,25524.0
2019-01-16 05:00:00,25.223133,39.96,270.0,24797.0
2019-01-16 06:00:00,24.387177,38.687855,264.66086,24149.0
2019-01-16 07:00:00,24.503809,38.803257,263.07288,23319.0
